µÁ—π(V),x÷·(s)
-0.2,0.659529765
-0.2,0.660330165
-0.2,0.661130565
-0.2,0.661930966
0.2,0.662731366
-0.2,0.663531766
-0.2,0.664332166
-0.2,0.665132566
-0.2,0.665932967
-0.2,0.666733367
-0.2,0.667533767
-0.2,0.668334167
-0.2,0.669134567
-0.2,0.669934968
-0.2,0.670735368
-0.2,0.671535768
-0.2,0.672336168
-0.2,0.673136568
-0.2,0.673936969
-0.2,0.674737369
-0.2,0.675537769
0.2,0.676338169
-0.2,0.677138569
-0.2,0.67793897
-0.2,0.67873937
-0.2,0.67953977
-0.2,0.68034017
-0.2,0.68114057
-0.2,0.681940971
-0.2,0.682741371
-0.2,0.683541771
-0.2,0.684342171
-0.2,0.685142571
-0.2,0.685942972
-0.2,0.686743372
-0.2,0.687543772
-0.2,0.688344172
-0.2,0.689144572
-0.2,0.689944973
-0.2,0.690745373
-0.2,0.691545773
-0.2,0.692346173
-0.2,0.693146573
-0.2,0.693946974
-0.2,0.694747374
-0.2,0.695547774
-0.2,0.696348174
-0.2,0.697148574
-0.2,0.697948975
-0.2,0.698749375
-0.2,0.699549775
-0.2,0.700350175
0.2,0.701150575
-0.2,0.701950976
-0.2,0.702751376
-0.2,0.703551776
-0.2,0.704352176
-0.2,0.705152576
-0.2,0.705952977
-0.2,0.706753377
-0.2,0.707553777
-0.2,0.708354177
-0.2,0.709154577
-0.2,0.709954978
-0.2,0.710755378
-0.2,0.711555778
-0.2,0.712356178
-0.2,0.713156578
-0.2,0.713956979
-0.2,0.714757379
-0.2,0.715557779
-0.2,0.716358179
-0.2,0.717158579
-0.2,0.71795898
-0.2,0.71875938
-0.2,0.71955978
-0.2,0.72036018
-0.6,0.72116058
-0.2,0.721960981
-0.2,0.722761381
-0.2,0.723561781
-0.2,0.724362181
-0.2,0.725162581
-0.2,0.725962982
-0.2,0.726763382
-0.2,0.727563782
-0.2,0.728364182
-0.2,0.729164582
-0.2,0.729964983
-0.2,0.730765383
-0.2,0.731565783
-0.2,0.732366183
-0.2,0.733166583
-0.2,0.733966984
-0.2,0.734767384
-0.2,0.735567784
-0.2,0.736368184
-0.2,0.737168584
-0.2,0.737968985
-0.2,0.738769385
-0.2,0.739569785
-0.2,0.740370185
-0.2,0.741170585
-0.2,0.741970986
-0.2,0.742771386
-0.2,0.743571786
-0.2,0.744372186
-0.2,0.745172586
-0.2,0.745972987
-0.2,0.746773387
-0.2,0.747573787
-0.2,0.748374187
-0.6,0.749174587
-0.2,0.749974988
-0.2,0.750775388
-0.2,0.751575788
-0.2,0.752376188
-0.2,0.753176588
-0.2,0.753976989
-0.2,0.754777389
-0.2,0.755577789
-0.2,0.756378189
-0.2,0.757178589
-0.2,0.75797899
-0.2,0.75877939
-0.2,0.75957979
-0.2,0.76038019
-0.2,0.76118059
-0.2,0.761980991
-0.2,0.762781391
-0.2,0.763581791
-0.2,0.764382191
-0.2,0.765182591
-0.2,0.765982992
-0.2,0.766783392
-0.2,0.767583792
-0.2,0.768384192
-0.2,0.769184592
-0.2,0.769984993
-0.2,0.770785393
-0.2,0.771585793
-0.2,0.772386193
-0.2,0.773186593
-0.2,0.773986994
-0.2,0.774787394
-0.2,0.775587794
-0.2,0.776388194
-0.2,0.777188594
-0.2,0.777988995
-0.2,0.778789395
-0.2,0.779589795
-0.2,0.780390195
-0.2,0.781190595
-0.2,0.781990996
-0.2,0.782791396
-0.2,0.783591796
-0.2,0.784392196
-0.2,0.785192596
-0.2,0.785992997
